          f000001   f000002   f000003  ...   f000703   f000704   f000705
f000001  1.000000  0.563350  0.122195  ...  0.027720 -0.026711  0.068972
f000002  0.563350  1.000000  0.419392  ...  0.000635  0.005722  0.055373
f000003  0.122195  0.419392  1.000000  ...  0.052189 -0.073269  0.072639
f000004 -0.088385 -0.093469  0.658129  ...  0.064641 -0.066138  0.141950
f000005  0.027184 -0.091102 -0.016726  ...  0.049928 -0.031317  0.258838
f000006  0.037472 -0.047733 -0.208159  ...  0.051609 -0.039730  0.197960
f000007 -0.118316  0.014792 -0.121601  ...  0.087343 -0.046035  0.131612
f000008 -0.206802  0.054541  0.054973  ... -0.044153  0.046353  0.039522
f000009 -0.264990 -0.122317 -0.020597  ... -0.059530 -0.000661  0.008050
f000010 -0.072779 -0.439565 -0.097375  ...  0.095438 -0.097452 -0.006740
f000011  0.008377 -0.339505 -0.155060  ...  0.086168 -0.042904 -0.019041
f000012 -0.039698 -0.081752 -0.371849  ... -0.047320  0.026974  0.024118
f000013 -0.066024  0.050565 -0.353238  ... -0.073287  0.024382  0.004497
f000014  0.060628  0.362020 -0.020601  ... -0.158128 -0.014538  0.034945
f000015  0.073855  0.209577  0.021492  ... -0.056914 -0.008069  0.113240
f000016 -0.041628 -0.251375 -0.045862  ...  0.148412 -0.078261  0.035185
f000017 -0.103371 -0.207859  0.251822  ...  0.083023 -0.098280 -0.025958
f000018 -0.147109 -0.167895  0.240465  ...  0.034657 -0.074258  0.081915
f000019  0.019138  0.045626 -0.087018  ... -0.060537  0.024036  0.071047
f000020  0.118253 -0.003802 -0.150067  ...  0.010252  0.054055  0.058449
f000021  0.115312 -0.030631 -0.110598  ...  0.000610  0.020702  0.003924
f000022  0.009519  0.003285 -0.065081  ... -0.026378 -0.031753 -0.117978
f000023  0.037260  0.085505  0.007901  ...  0.007421 -0.008652 -0.102302
f000024  0.101490  0.127354  0.117888  ...  0.078063 -0.004961  0.021360
f000025  0.066370  0.190440  0.104950  ...  0.058542 -0.036616  0.075409
f000026 -0.128412  0.170465  0.153112  ... -0.123647  0.005801  0.000044
f000027 -0.184531  0.126675  0.088544  ... -0.135014  0.027740  0.113507
f000028 -0.052154 -0.018202 -0.156520  ...  0.011267  0.027999  0.175582
f000029 -0.053284 -0.133745 -0.178480  ...  0.048372  0.009818  0.078938
f000030 -0.023409 -0.332203  0.017618  ...  0.066355 -0.127565 -0.038865
...           ...       ...       ...  ...       ...       ...       ...
f000676 -0.043297  0.043277  0.021076  ... -0.062281  0.056765  0.147996
f000677  0.017251  0.071453 -0.021314  ... -0.026321 -0.083191 -0.014194
f000678  0.078093 -0.050296  0.027452  ...  0.107847 -0.019408 -0.113892
f000679  0.119880  0.132390  0.008366  ... -0.103322 -0.050190 -0.018810
f000680 -0.005816  0.060689  0.074853  ...  0.047605 -0.031479 -0.109162
f000681 -0.030472 -0.096000 -0.152908  ... -0.101105  0.066072  0.264496
f000682 -0.045617 -0.019251  0.083367  ...  0.062758 -0.056471 -0.268588
f000683 -0.128253 -0.107238  0.016578  ...  0.169112 -0.037353 -0.050178
f000684  0.149397  0.093031  0.072219  ...  0.075853  0.138472  0.155282
f000685  0.042667  0.029730  0.037718  ...  0.032155 -0.089723  0.049504
f000686  0.035433  0.058218  0.016091  ... -0.110352 -0.037359 -0.159585
f000687 -0.063818 -0.100969 -0.084357  ... -0.040363  0.056552  0.005801
f000688 -0.095130 -0.013994 -0.012841  ...  0.059069 -0.023079 -0.127438
f000689  0.069626  0.088691  0.028329  ...  0.026023  0.094122  0.160433
f000690  0.018633  0.016740  0.116004  ... -0.101839 -0.034881 -0.103361
f000691 -0.125008 -0.166350 -0.152247  ...  0.087218  0.065236  0.001712
f000692  0.012055  0.049214 -0.077739  ... -0.074000  0.002830  0.094330
f000693  0.066001 -0.006333  0.007353  ...  0.057256  0.009276  0.089850
f000694  0.070437  0.077118  0.069544  ...  0.044308 -0.001489 -0.190970
f000695  0.000297  0.033591 -0.017557  ... -0.048853 -0.062153  0.205172
f000696 -0.017500 -0.059389  0.077747  ... -0.088341  0.055077 -0.038035
f000697  0.000895  0.132791 -0.053465  ...  0.097234  0.084119  0.034982
f000698  0.071118  0.024478  0.083417  ...  0.028669  0.010919  0.077833
f000699 -0.034200 -0.003125  0.080944  ... -0.072266  0.070599  0.020078
f000700  0.035161  0.028694 -0.046621  ...  0.083353 -0.060410 -0.046680
f000701  0.013445 -0.061466 -0.084890  ... -0.008498  0.072182  0.149154
f000702 -0.021402  0.050206  0.091536  ... -0.267089  0.032085 -0.110259
f000703  0.027720  0.000635  0.052189  ...  1.000000  0.012167 -0.032403
f000704 -0.026711  0.005722 -0.073269  ...  0.012167  1.000000  0.136486
f000705  0.068972  0.055373  0.072639  ... -0.032403  0.136486  1.000000

[705 rows x 705 columns]
